ID,Text,Time Posted
956657520562573312,"Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal quest to expand the boundaries of human potential. ",2018-01-25 22:38:21
956588348864454656,"Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18 ",2018-01-25 18:03:29
956578887160532992,"Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship and our commitment to work together on key national security challenges and economic opportunities. #WEF18 ",2018-01-25 17:25:53
956322473955545089,"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now booming and with all I am doing, will only get better...Our country is finally WINNING again!",2018-01-25 00:27:00
956298399946563585,"It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local government - and listen to the leaders who know their communities best. Together, we will usher in a bold new era of Peace and Prosperity! ",2018-01-24 22:51:20
956261892640604161,"Earlier today, I spoke with @GovMattBevin of Kentucky regarding yesterday’s shooting at Marshall County High School. My thoughts and prayers are with Bailey Holt, Preston Cope, their families, and all of the wounded victims who are in recovery. We are with you!",2018-01-24 20:26:16
956134228726558720,"Tremendous investment by companies from all over the world being made in America. There has never been anything like it. Now Disney, J.P. Morgan Chase and many others. Massive Regulation Reduction and Tax Cuts are making us a powerhouse again. Long way to go! Jobs, Jobs, Jobs!",2018-01-24 11:58:58
956015565776277510,"Cryin’ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is no DACA. We must have safety and security, together with a strong Military, for our great people!",2018-01-24 04:07:27
956012274942128128,"Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!",2018-01-24 03:54:22
955806333667807232,"Thank you to General John Kelly, who is doing a fantastic job, and all of the Staff and others in the White House, for a job well done. Long hours and Fake reporting makes your job more difficult, but it is always great to WIN, and few have won more than us!",2018-01-23 14:16:02
955795912374267907,"Nobody knows for sure that the Republicans and Democrats will be able to reach a deal on DACA by February 8, but everyone will be trying....with a big additional focus put on Military Strength and Border Security. The Dems have just learned that a Shutdown is not the answer!",2018-01-23 13:34:37
955771016319590400,"In one of the biggest stories in a long time, the FBI now says it is missing five months worth of lovers Strzok-Page texts, perhaps 50,000, and all in prime time. Wow!",2018-01-23 11:55:42
955764970590961665,Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...Schumer and Dems caved...gambled and lost. Thank you for your honesty Jim!,2018-01-23 11:31:40
955658992793149440,"Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, Democrats and DACA, but especially for our Great Military and Border Security. Should be able to get there. See you at the negotiating table!",2018-01-23 04:30:33
955458357200130049,End the Democrats Obstruction! ,2018-01-22 15:13:18
955428815777533952,Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!,2018-01-22 13:15:55
955426609326100480,The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!,2018-01-22 13:07:09
955249077645643776,Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A-and likewise to Doug Schoen for the very good grade and statements. Working hard!,2018-01-22 01:21:42
955056249925750784,"Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illegal immigrants to pour into our nation unchecked. If stalemate continues, Republicans should go to 51% -Nuclear Option- and vote on real, long term budget, no C.R.’s!",2018-01-21 12:35:28
954901073587834882,Eric Trump on @JudgeJeanine on @FoxNews now!,2018-01-21 02:18:51
954878124214415360,"The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administration has terminated during their full term in office, no matter what the length. The good news is, THERE IS MUCH MORE TO COME!",2018-01-21 00:47:40
954843844402647040,"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military, Crime, Borders, and ISIS, Judicial Strength and Numbers, Lowest Unemployment for Women and ALL, Massive Tax Cuts, end of Individual Mandate - and so much more. Big 2018!",2018-01-20 22:31:27
954788467069870081,"Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months. Lowest female unemployment in 18 years!",2018-01-20 18:51:24
954722155463430145,Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!,2018-01-20 14:27:54
954681839419101185,#AMERICA FIRST!,2018-01-20 11:47:42
954680914998648833,"For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win more Republicans in 2018 Election! We can then be even tougher on  Crime -and Border-, and even better to our Military and Veterans!",2018-01-20 11:44:01
954678287820902401,This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown,2018-01-20 11:33:35
954674157144477696,Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border. They could have easily made a deal but decided to play Shutdown politics instead. #WeNeedMoreRepublicansIn18 in order to power through mess!,2018-01-20 11:17:10
954541219970977793,"Not looking good for our great Military or Safety and Security on the very dangerous Southern Border. Dems want a Shutdown in order to help diminish the great success of the Tax Cuts, and what they are doing for our booming economy.",2018-01-20 02:28:56
954478044487520257,Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military together with @SenateMajLdr McConnell and @SpeakerRyan. Making progress - four week extension would be best!,2018-01-19 22:17:53
954456754137501697,Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wrongly abused during the election. I will always do the right thing for our country and put the safety of the American people first!,2018-01-19 20:53:17
954423170299199488,"Today, I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s March for Life theme: #LoveSavesLives. ",2018-01-19 18:39:50
954390114968498176,"“Shutting down the government is a very serious thing. People die, accidents happen. I don’t know how I would vote right now on a CR, OK?
Sen. Dianne Feinstein -D-Calif-
",2018-01-19 16:28:29
954386490842378241,".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...
",2018-01-19 16:14:05
954323750949982208,Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass in the Senate - but they want illegal immigration and weak borders. Shutdown coming? We need more Republican victories in 2018!,2018-01-19 12:04:47
954136290768846850,House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!,2018-01-18 23:39:53
954097213608570880,"AMERICA will once again be a NATION that thinks big, dreams bigger, and always reaches for the stars. YOU are the ones who will shape America’s destiny. YOU are the ones who will restore our prosperity. And YOU are the ones who are MAKING AMERICA GREAT AGAIN! #MAGA ",2018-01-18 21:04:36
954092417250222082,"Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world that AMERICA is back - and we are coming back bigger and better and stronger than ever before! ",2018-01-18 20:45:33
953987636057821184,A government shutdown will be devastating to our military...something the Dems care very little about!,2018-01-18 13:49:11
953984671674662912,"CHIP should be part of a long term solution, not a 30 Day, or short term, extension!",2018-01-18 13:37:24
953979393180950528,"We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of drugs from Mexico, now rated the number one most dangerous country in the world. If there is no Wall, there is no Deal!",2018-01-18 13:16:26
953973568035086336,"Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Special Election -March 13-. Rick is a great guy. We need more Republicans to continue our already successful agenda!",2018-01-18 12:53:17
953951365532876800,"....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a ridiculous $71 billion dollar trade surplus with the U.S. The $20 billion dollar Wall is “peanuts compared to what Mexico makes from the U.S. NAFTA is a bad joke!",2018-01-18 11:25:03
953948941674078208,"The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of necessity, see through and it was never intended to be built in areas where there is natural protection such as mountains, wastelands or tough rivers or water.....",2018-01-18 11:15:25
953796944564031489,"ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much more! Together there is nothing we can’t overcome--even a very biased media. We ARE Making America Great Again!",2018-01-18 01:11:26
953795518592843777,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD NEWS for the American people to be proud of!",2018-01-18 01:05:46
953794085751574534,"And the FAKE NEWS winners are...
",2018-01-18 01:00:05
953773110553186312,Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOLLARS. ,2018-01-17 23:36:44
953772162665590787,"During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I am very proud to see companies like Chrysler moving operations from Mexico to Michigan where there are so many great American workers! ",2018-01-17 23:32:58
953771038114045954,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! ,2018-01-17 23:28:30
953768657221451776,"Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our friend, and true AMERICAN HERO, Bob Dole. #CongressionalGoldMedal ",2018-01-17 23:19:02
953614071336701952,Eric Trump on @foxandfriends  now!,2018-01-17 13:04:46
953406553083777029,"....we need to keep America safe, including moving away from a random chain migration and lottery system, to one that is merit-based. ",2018-01-16 23:20:10
953406423177859073,New report from DOJ and DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-born. We have submitted to Congress a list of resources and reforms....,2018-01-16 23:19:39
953360619834691585,"Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! ",2018-01-16 20:17:39
953352036309000194,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day ",2018-01-16 19:43:32
953273134655987716,"Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubled. Thank you, and it will get even -much- better! @FoxNews",2018-01-16 14:30:00
953271789790138368,“90% of Trump 2017 news coverage was negative -and much of it contrived!@foxandfriends,2018-01-16 14:24:40
953270558573154305,"Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but rather talks about anything negative or that can be turned into the negative. The Russian Collusion Hoax is dead, except as it pertains to the Dems. Public gets it!",2018-01-16 14:19:46
953267506004754432,"The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be our rapidly rebuilding Military, at a time we need it more than ever. We need a merit based system of immigration, and we need it now! No more dangerous Lottery.",2018-01-16 14:07:38
953264081871495168,"We must have Security at our VERY DANGEROUS SOUTHERN BORDER, and we must have a great WALL to help protect us, and to help stop the massive inflow of drugs pouring into our country!",2018-01-16 13:54:02
953000902331453442,Senator Dicky Durbin totally misrepresented what was said at the DACA meeting. Deals can’t get made when there is no trust! Durbin blew DACA and is hurting our Military.,2018-01-15 20:28:15
952888691944550401,"...to stop drugs, they want to take money away from our military which we cannot do. My standard is very simple, AMERICA FIRST and MAKE AMERICA GREAT AGAIN!",2018-01-15 13:02:22
952887520790040576,"Statement by me last night in Florida: “Honestly, I don’t think the Democrats want to make a deal. They talk about DACA, but they don’t want to help..We are ready, willing and able to make a deal but they don’t want to. They don’t want security at the border, they don’t want.....",2018-01-15 12:57:43
952540700683497472,"...big unnecessary regulation cuts made it all possible -among many other things-. “President Trump reversed the policies of President Obama, and reversed our economic decline. Thank you Stuart Varney.  @foxandfriends",2018-01-14 13:59:35
952538350333939713,"“President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers. Most explosive Stock Market rally that we’ve seen in modern times. 18,000 to 26,000 from Election, and grounded in profitability and growth. All Trump, not 0...",2018-01-14 13:50:14
952530515894169601,"I, as President, want people coming into our Country who are going to help us become strong and great again, people coming in through a system based on MERIT. No more Lotteries! #AMERICA FIRST",2018-01-14 13:19:06
952528011869478912,"DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately needed money away from our Military.",2018-01-14 13:09:09
952526145064505345,...and they knew exactly what I said and meant. They just wanted a story. FAKE NEWS!,2018-01-14 13:01:44
952525384242876416,"The Wall Street Journal stated falsely that I said to them “I have a good relationship with Kim Jong Un -of N. Korea-. Obviously I didn’t say that. I said “I’d have a good relationship with Kim Jong Un, a big difference. Fortunately we now record conversations with reporters...",2018-01-14 12:58:43
952301373479104512,"So much Fake News is being reported. They don’t even try to get it right, or correct it when they are wrong. They promote the Fake Book of a mentally deranged author, who knowingly writes false information. The Mainstream Media is crazed that WE won the election!",2018-01-13 22:08:34
952183458922672130,"I don’t believe the Democrats really want to see a deal on DACA. They are all talk and no action. This is the time but, day by day, they are blowing the one great opportunity they have. Too bad!",2018-01-13 14:20:01
952166927476183040,AMERICA FIRST!,2018-01-13 13:14:20
952166857670320128,The Democrats are all talk and no action. They are doing nothing to fix DACA. Great opportunity missed. Too bad!,2018-01-13 13:14:03
952166643202916352,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!",2018-01-13 13:13:12
951875499537641472,"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage all Americans to observe this day with appropriate civic, community, and service activities in honor of Dr. Kings life and legacy. ",2018-01-12 17:56:18
951813216291708928,"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Never said “take them out. Made up by Dems. I have a wonderful relationship with Haitians. Probably should record future meetings - unfortunately, no trust!",2018-01-12 13:48:49
951798415301718017,"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fair deal, for DACA. Take care of our Military, and our Country, FIRST!",2018-01-12 12:50:00
951793123985973248,"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough was the outlandish proposal made - a big setback for DACA!",2018-01-12 12:28:58
951790999784783872,"....Because of the Democrats not being interested in life and safety, DACA has now taken a big step backwards. The Dems will threaten “shutdown, but what they are really doing is shutting down our military, at a time we need it most. Get smart, MAKE AMERICA GREAT AGAIN!",2018-01-12 12:20:32
951788342647107584,"....countries which are doing badly. I want a merit based system of immigration and people who will help take our country to the next level. I want safety and security for our people. I want to stop the massive inflow of drugs. I want to fund our military, not do a Dem defund....",2018-01-12 12:09:58
951785587765280768,"The so-called bipartisan DACA deal presented yesterday to myself and a group of Republican Senators and Congressmen was a big step backwards. Wall was not properly funded, Chain and Lottery were made worse and USA would be forced to take large numbers of people from high crime.....",2018-01-12 11:59:02
951679619341737986,"Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the best located and finest embassy in London for “peanuts, only to build a new one in an off location for 1.2 billion dollars. Bad deal. Wanted me to cut ribbon-NO!",2018-01-12 04:57:57
951675713089888256,"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousands of lives in the process. It is my duty to protect the lives and safety of all Americans. We must build a Great Wall, think Merit and end Lottery and Chain. USA!",2018-01-12 04:42:25
951650274032209920,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization. Very disrespectful to committee members and possibly illegal. She blamed her poor decision on the fact she had a cold - a first!,2018-01-12 03:01:20
951648197440569344,"Chrysler is moving a massive plant from Mexico to Michigan, reversing a years long opposite trend. Thank you Chrysler, a very wise decision. The voters in Michigan are very happy they voted for Trump/Pence. Plenty of more to follow!",2018-01-12 02:53:05
951647402599026689,"More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant, relocating their heavy-truck production from Mexico to Michigan, adding 2,500 new jobs and paying $2,000 bonus to U.S. employees! ",2018-01-12 02:49:56
951646736233189377,Small Business Poll has highest approval numbers in the polls history. All business is just at the beginning of something really special!,2018-01-12 02:47:17
951645893513613312,"Thank you Adam Levine, The Federalist, in interview on @foxandfriends  “Donald Trump is the greatest President our Country has ever seen.",2018-01-12 02:43:56
951596346011680768,"Yesterday, I signed the #INTERDICTAct -H.R. 2142- with bipartisan members of Congress to help end the flow of drugs into our country. Together, we are committed to doing everything we can to combat the deadly scourge of drug addiction and overdose in the United States! ",2018-01-11 23:27:03
951478281303416832,"Great news, as a result of our TAX CUTS and JOBS ACT! ",2018-01-11 15:37:54
951457382651056128,"With that being said, I have personally directed the fix to the unmasking process since taking office and today’s vote is about foreign surveillance of foreign bad guys on foreign land. We need it! Get smart!",2018-01-11 14:14:51
951441504203104256,“45 year low in illegal immigration this year. @foxandfriends,2018-01-11 13:11:46
951431836030459905,"“House votes on controversial FISA ACT today. This is the act that may have been used, with the help of the discredited and phony Dossier, to so badly surveil and abuse the Trump Campaign by the previous administration and others?",2018-01-11 12:33:21
951419415794511872,"In new Quinnipiac Poll, 66% of people feel the economy is “Excellent or Good. That is the highest number ever recorded by this poll.",2018-01-11 11:43:59
951416674808467461,Disproven and paid for by Democrats “Dossier used to spy on Trump Campaign. Did FBI use Intel tool to influence the Election? @foxandfriends  Did Dems or Clinton also pay Russians? Where are hidden and smashed DNC servers? Where are Crooked Hillary Emails?  What a mess!,2018-01-11 11:33:06
